Title,URL,Description,Stars,Last Updated
kairess/mental-health-chatbot,https://github.com/kairess/mental-health-chatbot,심리상담 정신건강 상담 챗봇. AI chatbot for psychology consultation.,55,"on May 30, 2023"
jahnavik186/AI-Mental-Health-Companion,https://github.com/jahnavik186/AI-Mental-Health-Companion,"An intelligent, interactive mental health companion that uses Large Language Models (LLMs) combined with RAG to provide context-aware mental",21,"on Nov 19, 2025"
PoyBoi/MindEase,https://github.com/PoyBoi/MindEase,AI based Mental Health Counsellor / Mental Health Assistant,44,"on May 26, 2025"
Shivam1337/MindCrafter,https://github.com/Shivam1337/MindCrafter,AI & ML Based Mental Health Diagnosis & Consulting App.,90,"on Nov 25, 2022"
RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,https://github.com/RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,"To expand the scope of existing mental health screening questionnaires by creating a Chat Bot styled testing application, allowing for en…",5,"on Sep 4, 2025"
dhrumilp12/Mental-Health-Companion,https://github.com/dhrumilp12/Mental-Health-Companion,"This app would provide mental health support through conversational AI, offering personalized advice, mood tracking, and mental health re…",27,"on Oct 21, 2024"
SherazAsghar37/ai_mental_health,https://github.com/SherazAsghar37/ai_mental_health,,14,"on Mar 23, 2025"
mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,https://github.com/mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,"Facial Expression Recognition (FER) for Mental Health Detection applies AI models like Swin Transformer, CNN, and ViT for detecting emot…",34,"on Jan 30, 2025"
galihru/MentalHealth,https://github.com/galihru/MentalHealth,A comprehensive mental health monitoring application using modern web technologies.,21,1 hour ago
Sanjana-Rajagopala/AI_Healthcare_Chatbot,https://github.com/Sanjana-Rajagopala/AI_Healthcare_Chatbot,Created a chatbot that acts as virtual healthcare assistant to patients with mental health problems.,26,"on May 24, 2018"
VaibhaveS/MentalHealthWithAI,https://github.com/VaibhaveS/MentalHealthWithAI,"divorcePRED offers an end to end solution from predicting the state of marriage with the help of machine learning, finding like minded pe…",6,"on Jun 26, 2022"
ZenYukti/OpenMindWell,https://github.com/ZenYukti/OpenMindWell,"AI-powered mental health support platform with anonymous chat, crisis detection, and peer support - Self-hosted & open source by Team Zen…",43,on Feb 17
neilgebhard/ai-therapist,https://github.com/neilgebhard/ai-therapist,A personal AI therapist to help you with your mental health,25,"on Nov 29, 2025"
HemantKumar01/SoulScript,https://github.com/HemantKumar01/SoulScript,Personal AI Mental Health Therapist,6,"on Sep 30, 2025"
Mercytopsy/AI-Health-Supervisor-Agent,https://github.com/Mercytopsy/AI-Health-Supervisor-Agent,"A multi-agent AI system designed to provide personalized health guidance across fitness, diet, and mental wellness",18,"on Apr 28, 2025"
AryanNayak/Muse,https://github.com/AryanNayak/Muse,An AI Mental Health Chatbot,11,"on Nov 18, 2020"
yogyagit/IvyHacks2024_MentalHealth,https://github.com/yogyagit/IvyHacks2024_MentalHealth,ThinkWell AI: A real-time mental health support app leveraging AI-driven CBT techniques for personalized therapy sessions.,10,"on Apr 27, 2024"
23W-GBAC/RHYAN2,https://github.com/23W-GBAC/RHYAN2,"Mental health ,cancer and AI",5,"on Mar 12, 2024"
Rahul-Sahani04/Mental-Health-AI-Assistant,https://github.com/Rahul-Sahani04/Mental-Health-AI-Assistant,Mental Support Chatbot App: A Streamlit application implementing a Mental Support Chatbot powered by Google Generative AI. Engage in conv…,6,"on Feb 7, 2024"
alvii147/HachikosJournal,https://github.com/alvii147/HachikosJournal,AI-based application for mental health journal writing with virtual assistant,9,"on Aug 6, 2024"
revolutionarybukhari/ai-calling-agent,https://github.com/revolutionarybukhari/ai-calling-agent,"I have used technologies like Twilio , openai , pinecone , Mongodb, to make an automated calling agent for both inbound and outbound call…",44,on Feb 6
arunprasad-04/-Emotion-AI-Mental-Health-Chatbot,https://github.com/arunprasad-04/-Emotion-AI-Mental-Health-Chatbot,,26,"on Aug 1, 2025"
BinaryStudioAcademy/bsa-2023-calmpal,https://github.com/BinaryStudioAcademy/bsa-2023-calmpal,AI-powered mental health application,3,"on Oct 16, 2023"
Sakaar-Sen/MentalHealthBot,https://github.com/Sakaar-Sen/MentalHealthBot,An AI-powered mental health chatbot created using the LangChain framework.,12,"on Oct 19, 2023"
galihru/facemind,https://github.com/galihru/facemind,application uses computer vision and machine learning to analyze mental health based on facial expressions. The app includes login system…,35,1 hour ago
siddythings/system-prompts-and-models-of-ai-tools,https://github.com/siddythings/system-prompts-and-models-of-ai-tools,"A comprehensive collection of AI system prompts, tools, and implementations across various domains including healthcare, voice AI, mental h…",49,"on May 15, 2025"
starlightknown/AIry_pages,https://github.com/starlightknown/AIry_pages,hackOn 2.0 Hack for mental health and awareness and voice hack category,8,"on Mar 14, 2022"
